rep	term	estimate	std.error	statistic	p.value
dmsoA_dmso	(Intercept)	0.025711521941469903	0.0016021202163451877	16.048434867218592	6.0691751610738006e-58
dmsoA_dmso	mean_expected_single_crispr	0.44057300212305917	0.002276012885638697	193.5722793587898	0
dmsoB_dmso	(Intercept)	-0.043512943498795455	0.0017592292454267694	-24.73409512257153	5.586131421232012e-135
dmsoB_dmso	mean_expected_single_crispr	0.45119307701062056	0.002318873206423548	194.57427674819104	0
drug1A_drug	(Intercept)	0.12225407714432608	0.0030041957508718685	40.69444446449466	0
drug1A_drug	mean_expected_single_crispr	0.42370996367394004	0.0022119129505532155	191.5581549300876	0
drug1B_drug	(Intercept)	-0.01653587531417093	0.002584080215803956	-6.399133901896427	1.5640332299340575e-10
drug1B_drug	mean_expected_single_crispr	0.4294273032607018	0.0022704858733119874	189.134540896434	0
